Disorder,Stage,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,,,,,,,
Human Prion Disease,,Dementia,Difficulty walking,Muscle control loss,Hallucinations,Muscle stiffness,Confusion,Fatigue,Difficulty speaking,,,,,,,,,,,,,
Alzheimer's Disease,Early Stage,Anterogrode Amnesia,Communication problems,Executive Dysfunction,Apathy,Subclinical depression,,,,,,,,,,,,,,,,
Alzheimer's Disease,Middle Stage,Anterogrode Amnesia,Aphasia,Agnosia,Apraxia,BPSD,BADLS,Sleep changes,,,,,,,,,,,,,,
Alzheimer's Disease,Late Stage,Global Amnesia,Mutism,Hypertonia,Bradykinesia,Difficulty swallowing,Apathy,Incontinence,,,,,,,,,,,,,,
Alzheimer's Disease,End of Life,Muscle wasting,Deucbitus Ulcers,Cheyne Stokes Respiration,Vegetative,,,,,,,,,,,,,,,,,
Amyotrophic Lateral Sclerosis (ALS),Early Stage (Localized Symptoms),Fatigue,Spasms,Fasciculations,Muscle Weakness,Muscle Atrophy,Articulation Difficulty,Difficulty Swallowing,Poor balance,,,,,,,,,,,,,
Amyotrophic Lateral Sclerosis (ALS),Middle Stage,Fatigue,Spasms,Fasciculations,Muscle Weakness,Muscle Atrophy,Articulation Difficulty,Difficulty Swallowing,Poor balance,Muscle contractures,Some paralyzed muscles,Respiratory Insufficiency,pseudobulbar affect,,,,,,,,,
Amyotrophic Lateral Sclerosis (ALS),Late Stage,Fatigue,Spasms,Fasciculations,Muscle Weakness,Muscle Atrophy,Articulation Difficulty,Difficulty Swallowing,Poor balance,Muscle contractures,Mostly paralyzed muscles,Respiratory Insufficiency,pseudobulbar affect,Can't eat and drink,,,,,,,,
Bell's Palsy,,Headache ,Disordered facial muscles,Tearing,Drooling,Loss of taste on front 2/3 of tongue,Inability to close eye,Sensitive hearing,Weakness/paralysis on one side of face,,,,,,,,,,,,,
Brain Tumors,,Headache,Migraines,Nausea,Blurry vision ,Loss of feeling in an arm or leg,Poor balance,Speech problems,Tiredness,Confusion,Personality changes,Seizures,Vertigo,Hunger,Weight gain,,,,,,,
